date,report_org_code,org_code,activity,activity_short,state,township,beneficiaries,unique_beneficiaries
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Momauk,1289,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mansi,293,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mansi,753,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mansi,1675,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mansi,741,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Bhamo,22,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Tanai,264,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mohnyin,1649,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Puta-O,265,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Tanai,193,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mohnyin,463,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Puta-O,618,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,289,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,178,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,1517,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,1658,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,2412,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,220,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,85,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,421,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,274,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,162,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,144,Yes
